parent_url,parent_name,this_url,name,level
智能家居系统中设备管理与通讯机制研究_2级_6,AllSeen整体介绍,智能家居系统中设备管理与通讯机制研究_3级_1,AllSeen网络拓扑结构,3
智能家居系统中设备管理与通讯机制研究_2级_6,AllSeen整体介绍,智能家居系统中设备管理与通讯机制研究_3级_2,AllSeen协议栈,3
智能家居系统中设备管理与通讯机制研究_2级_6,AllSeen整体介绍,智能家居系统中设备管理与通讯机制研究_3级_3,AllSeen系统框架,3
智能家居系统中设备管理与通讯机制研究_2级_7,AllSeen基本概念,智能家居系统中设备管理与通讯机制研究_3级_4,AllSeen总线和路由,3
智能家居系统中设备管理与通讯机制研究_2级_7,AllSeen基本概念,智能家居系统中设备管理与通讯机制研究_3级_5,AllSeen总线附件,3
智能家居系统中设备管理与通讯机制研究_2级_7,AllSeen基本概念,智能家居系统中设备管理与通讯机制研究_3级_6,AllSeen总线对象与代理总线对象,3
智能家居系统中设备管理与通讯机制研究_2级_7,AllSeen基本概念,智能家居系统中设备管理与通讯机制研究_3级_7,AllSeen总线接口成员,3
智能家居系统中设备管理与通讯机制研究_2级_8,AllSeen基本数据,智能家居系统中设备管理与通讯机制研究_3级_8,AllSeen数据结构,3
智能家居系统中设备管理与通讯机制研究_2级_8,AllSeen基本数据,智能家居系统中设备管理与通讯机制研究_3级_9,AllSeen数据匹配,3
智能家居系统中设备管理与通讯机制研究_2级_8,AllSeen基本数据,智能家居系统中设备管理与通讯机制研究_3级_10,AllSeen数据报文,3
智能家居系统中设备管理与通讯机制研究_2级_8,AllSeen基本数据,智能家居系统中设备管理与通讯机制研究_3级_11,AllSeen数据交互,3
智能家居系统中设备管理与通讯机制研究_2级_9,AllSeen基本机制,智能家居系统中设备管理与通讯机制研究_3级_12,AllSeen广播发现机制,3
智能家居系统中设备管理与通讯机制研究_2级_9,AllSeen基本机制,智能家居系统中设备管理与通讯机制研究_3级_13,AllSeen会话机制,3
智能家居系统中设备管理与通讯机制研究_2级_10,AllSeen基础服务框架,智能家居系统中设备管理与通讯机制研究_3级_14,Onboarding组网服务框架,3
智能家居系统中设备管理与通讯机制研究_2级_10,AllSeen基础服务框架,智能家居系统中设备管理与通讯机制研究_3级_15,Notification通知服务框架,3
智能家居系统中设备管理与通讯机制研究_2级_10,AllSeen基础服务框架,智能家居系统中设备管理与通讯机制研究_3级_16,Config配置服务框架,3
智能家居系统中设备管理与通讯机制研究_2级_10,AllSeen基础服务框架,智能家居系统中设备管理与通讯机制研究_3级_17,ControlPanel控制服务框架,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_18,1AllSeen分布式代理,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_19,AllSeen标准设备发现,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_20,AllSeen瘦客户端设备发现,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_21,AllSeen瘦客户端设备组网流程,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_22,蓝牙哑设备组网方案设计,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_23,AllSeen设备通知获取流程,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_24,设备控制模块,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_25,AllSeen设备图标获取,3
智能家居系统中设备管理与通讯机制研究_2级_17,核心模块,智能家居系统中设备管理与通讯机制研究_3级_26,心跳机制,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_27,底层通讯基础,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_28,设备发现,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_29,设备组网,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_30,设备转换,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_31,设备图标获取,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_32,设备通讯,3
智能家居系统中设备管理与通讯机制研究_2级_19,核心模块实现,智能家居系统中设备管理与通讯机制研究_3级_33,设备心跳机制实现,3
智能家居系统中设备管理与通讯机制研究_2级_20,核心功能测试,智能家居系统中设备管理与通讯机制研究_3级_34,设备发现测试,3
智能家居系统中设备管理与通讯机制研究_2级_20,核心功能测试,智能家居系统中设备管理与通讯机制研究_3级_35,设备组网测试,3
智能家居系统中设备管理与通讯机制研究_2级_20,核心功能测试,智能家居系统中设备管理与通讯机制研究_3级_36,设备通知测试,3
智能家居系统中设备管理与通讯机制研究_2级_20,核心功能测试,智能家居系统中设备管理与通讯机制研究_3级_37,其它测试,3
智能家居系统中设备管理与通讯机制研究_2级_20,核心功能测试,智能家居系统中设备管理与通讯机制研究_3级_38,控制设备黑屏,3
